type,alphaID,numID,size,mode,description
IPID,IP_CONVOLUTION,0x1000500A,,,IP Convolution Core P1
CFG,MemX,0b00000,32,W,memoria X
CFG,MemY,0b00010,32,W,memoria Y
CFG,MemZ,0b00100,64,R,memoria Z
CFG,AddrX,0b00001,1,W,Set Write Address Pointer of MemX
CFG,AddrY,0b00011,1,W,Set Write Address Pointer of MemY
CFG,AddrZ,0b00101,1,W,Set Read Address Pointer of MemZ
CFG,size,0b00110,1,W,size X y Y
CFG,Addrsize,0b00111,1,W,Set Write Address of Csize
CFG,STATUS,0b11110,1,B,IP status register
CFG,IPID,0b11111,1,R,IP ID
